Dataset,ChunkIndex,CompressionImprovementPct,MaxBitWidth,MinBitWidth,MaxMinBitWidthDiff,BitWidthMean,BitWidthVar,BitWidthStd,BitWidthDiffAbsMean,BitWidthMedian,BitWidthP90,BitWidthChangeCount,BitWidthRunMean,ZeroFrac
Stocks-UK.csv,4,2.6573426573426575,12.0,1.0,11.0,10.55078125,0.4524993896484375,0.6726807486827889,0.08895405669599218,11.0,11.0,76,13.2987012987013,9.765625E-4
Stocks-UK.csv,5,1.9047619047619047,13.0,1.0,12.0,10.7607421875,1.5999822616577148,1.2649040523524757,0.12023460410557185,11.0,13.0,108,9.394495412844037,9.765625E-4
Stocks-UK.csv,6,3.2525951557093427,11.0,1.0,10.0,10.6748046875,0.32100582122802734,0.5665737562118699,0.06842619745845552,11.0,11.0,54,18.618181818181817,9.765625E-4
Stocks-UK.csv,7,4.071246819338422,17.0,1.0,16.0,11.5595703125,1.0394201278686523,1.0195195573742821,0.03616813294232649,12.0,12.0,20,48.76190476190476,9.765625E-4
Stocks-UK.csv,8,2.2339800117577897,14.0,1.0,13.0,12.6806640625,0.7505636215209961,0.8663507497087979,0.06060606060606061,13.0,13.0,44,22.755555555555556,9.765625E-4
Stocks-UK.csv,9,2.3028209556706964,14.0,1.0,13.0,12.9697265625,1.7715444564819336,1.3309937852905,0.05180840664711633,14.0,14.0,46,21.78723404255319,9.765625E-4
Stocks-UK.csv,10,1.8380241240666284,14.0,1.0,13.0,12.9013671875,1.4326543807983398,1.1969354121247895,0.10068426197458455,13.0,14.0,87,11.636363636363637,9.765625E-4
Stocks-UK.csv,11,1.4993481095176011,13.0,1.0,12.0,11.25,1.384765625,1.1767606489851707,0.13098729227761485,12.0,12.0,109,9.309090909090909,9.765625E-4
Stocks-UK.csv,12,1.2738853503184713,13.0,1.0,12.0,11.578125,1.347412109375,1.160780818834891,0.09090909090909091,12.0,13.0,81,12.487804878048781,9.765625E-4
Stocks-UK.csv,13,1.6225961538461537,14.0,1.0,13.0,12.333984375,1.0486106872558594,1.0240169369965808,0.07429130009775171,12.0,13.0,63,16.0,9.765625E-4
Stocks-UK.csv,14,2.6657997399219764,12.0,1.0,11.0,11.427734375,1.3033714294433594,1.1416529373865594,0.06060606060606061,12.0,12.0,49,20.48,9.765625E-4
Stocks-UK.csv,15,2.3976608187134505,14.0,1.0,13.0,12.76171875,0.8123626708984375,0.9013116391672957,0.04594330400782014,13.0,13.0,24,40.96,0.001953125
Stocks-UK.csv,16,2.214242968282466,13.0,1.0,12.0,12.4560546875,0.6113500595092773,0.7818887769429085,0.06744868035190615,13.0,13.0,57,17.655172413793103,9.765625E-4
Stocks-UK.csv,17,3.013863773357444,13.0,1.0,12.0,12.4033203125,0.48088741302490234,0.6934604624813893,0.02737047898338221,12.0,13.0,20,48.76190476190476,9.765625E-4
Stocks-UK.csv,18,2.6024363233665557,17.0,1.0,16.0,13.33984375,8.626693725585938,2.93712337595579,0.0772238514173998,12.0,17.0,63,16.0,9.765625E-4
Stocks-UK.csv,19,2.246508803885853,13.0,1.0,12.0,12.2587890625,1.031661033630371,1.0157071593871785,0.05767350928641251,12.0,13.0,43,23.272727272727273,9.765625E-4
Stocks-UK.csv,20,3.288201160541586,13.0,1.0,12.0,11.5244140625,0.9056539535522461,0.951658527809343,0.05571847507331378,11.0,13.0,42,23.813953488372093,9.765625E-4
Stocks-UK.csv,21,2.2117962466487935,12.0,1.0,11.0,10.953125,1.462646484375,1.2093992245635847,0.08308895405669599,11.0,12.0,71,14.222222222222221,0.001953125
Stocks-UK.csv,22,2.4523160762942777,12.0,1.0,11.0,10.8388671875,0.9105596542358398,0.9542324948542885,0.07331378299120235,11.0,12.0,65,15.515151515151516,9.765625E-4
Stocks-UK.csv,23,1.556970983722576,12.0,1.0,11.0,10.3427734375,0.7389516830444336,0.8596229888994557,0.11632453567937438,10.0,11.0,100,10.138613861386139,0.001953125
Stocks-UK.csv,24,2.7202072538860103,13.0,1.0,12.0,11.4677734375,0.5497426986694336,0.7414463558946349,0.05083088954056696,12.0,12.0,38,26.256410256410255,9.765625E-4
